,Nombre,Temática,Adscripción,Página web,Entidad,Municipio,Puntaje,Cantidad de comentarios
370,Museo de la Ciudad de México,Arte,Secretaría de Cultura de la Ciudad de México,https://www.cultura.cdmx.gob.mx/recintos/mcm,Ciudad de México,Cuauhtémoc,NaN,0
371,Museo Panteón de San Fernando (cerrado por restauración),Historia,Secretaría de Cultura de la Ciudad de México,https://www.cultura.cdmx.gob.mx/recintos/mpsf,Ciudad de México,Cuauhtémoc,4.4,192
372,Museo de Sitio de la Secretaría de Educación Pública,Arqueología,Secretaría de Educación Pública,,Ciudad de México,Cuauhtémoc,4.9,33
373,Museo Mural Diego Rivera,Arte,Secretaría de Cultura/INBA,https://museomuraldiegorivera.bellasartes.gob.mx/,Ciudad de México,Cuauhtémoc,4.6,4660
374,Museo Archivo de la Fotografía (MAF),Arte,Secretaría de Cultura de la Ciudad de México,https://mafmuseo.wordpress.com/,Ciudad de México,Cuauhtémoc,4.5,880
375,Museo Ferrocarrilero Víctor Flores Morales,Historia,Sindicato de Trabajadores Ferrocarrileros de la República Mexicana,,Ciudad de México,Cuauhtémoc,4.1,15
376,Museo de Cera de la Ciudad de México,Especializado,"Museo de Cera de la Ciudad de México, S.A. de C.V.",http://www.museodecera.com.mx/,Ciudad de México,Cuauhtémoc,4.6,24409
377,Museo de la Caricatura (en proceso de restauración),Arte,"Sociedad Mexicana de Caricaturistas, A.C.",http://www.dis.uia.mx/grupos/2015p/compint2_a/luis/proyectofinal/,Ciudad de México,Cuauhtémoc,4.2,1870
378,Museo del Ejército y Fuerza Aérea Mexicanos de Bethlemitas (Cerrado Temporalmente),Historia,Secretaría de la Defensa Nacional (SEDENA),,Ciudad de México,Cuauhtémoc,4.5,579
379,Museo de Arte de la SHCP. Antiguo Palacio del Arzobispado,Arte,Secretaría de Hacienda y Crédito Público (SHCP),,Ciudad de México,Cuauhtémoc,4.6,736
380,Museo del Bicentenario ,Historia,Torre Latinoamericana,http://torrelatinoamericana.com.mx/museo-bicentenario/,Ciudad de México,Cuauhtémoc,4.7,549
381,Antiguo Colegio de San Ildefonso,Arte,UNAM/Secretaría de Cultura/Gobierno de la Ciudad de México,http://www.sanildefonso.org.mx/,Ciudad de México,Cuauhtémoc,4.7,11565
382,Palacio de Cultura Banamex (Palacio de Iturbide),Arte,"Fomento Cultural Banamex, A.C.",http://fomentoculturalbanamex.org/,Ciudad de México,Cuauhtémoc,4.7,9734
383,Museo Universitario del Chopo,Arte,UNAM/Coordinación de Difusión Cultural,http://www.chopo.unam.mx,Ciudad de México,Cuauhtémoc,4.5,4149
384,Museo del Instituto Cultural México Israel,Historia,"Instituto Cultural México Israel, A.C.",http://www.mexico-israel.org/index.php?id=3,Ciudad de México,Cuauhtémoc,4.6,147
385,Museo Manuel Tolsá,Arte,UNAM/Facultad de Ingeniería,http://museomanueltolsa.unam.mx/,Ciudad de México,Cuauhtémoc,4.3,21
386,Museo Galería Nuestra Cocina Duque de Herdez,Especializado,"Fundación Herdez, A.C.",http://fundacionherdez.com/,Ciudad de México,Cuauhtémoc,4.0,186
387,Museo de Sitio Recinto Parlamentario,Historia,SHCP/Dirección General de Promoción Cultural y Acervo Patrimonial,,Ciudad de México,Cuauhtémoc,NaN,0
388,Museo Kaluz,,Fundación Cultural Kalux,https://museokaluz.org/,Ciudad de México,Cuauhtémoc,4.9,470
389,Museo del Telégrafo,Ciencia y tecnología,Telecomunicaciones de México (Telecom),https://www.gob.mx/telecomm/articulos/museo-del-telegrafo-desde-casa?idiom=es,Ciudad de México,Cuauhtémoc,4.6,448
390,Museo de Sitio del Antiguo Hospital Concepción Béistegui,Ciencia y tecnología,"Fundación para Ancianos Concepción Béistegui,  I.A.P.",https://www.gob.mx/agn/articulos/archivo-historico-en-un-museo-de-sitio,Ciudad de México,Cuauhtémoc,4.3,46
391,Museo del Pulque y las pulquerías,,"Asociación Nacional de Pulquerías Tradicionales, A.C.",https://www.mupyp.mx/es/,Ciudad de México,Cuauhtémoc,4.5,1662
392,Museo Numismático Nacional,Ciencia y tecnología,SHCP/Casa de Moneda de México,,Ciudad de México,Cuauhtémoc,4.6,1514
393,Museo de Sitio ,Arqueología,Centro Cultural de España ,http://ccemx.org/museo-del-sitio/,Ciudad de México,Cuauhtémoc,NaN,0
394,Palacio de la Escuela de Medicina,Antropología,UNAM/Facultad de Medicina,,Ciudad de México,Cuauhtémoc,4.6,7378
395,Museo Foro Valparaíso,,"Banco Nacional de México, S.A.",https://www.banamex.com/valparaiso/,Ciudad de México,Cuauhtémoc,4.8,383
396,Museo de Sitio Recinto de Homenaje a Don Benito Juárez,Historia,Secretaría de Hacienda y Crédito Público (SHCP),https://www.gob.mx/shcp/articulos/el-recinto-homenaje-a-don-benito-juarez-es-un-espacio-creado-para-honrar-la-memoria-del-benemerito-de-las-americas?idiom=es,Ciudad de México,Cuauhtémoc,4.8,676
397,Pinacoteca del Templo La Profesa (cerrada hasta nuevo aviso),Arte,Congregación del Oratorio de San Felipe Neri de México,,Ciudad de México,Cuauhtémoc,4.6,2192
398,Sala de Arte Público Siqueiros,Arte,Secretaría de Cultura/INBA,http://saps-latallera.org/,Ciudad de México,Miguel Hidalgo,4.5,382
399,"Museo del Caracol, Galería de Historia",Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/264-museo-del-caracol-galeria-de-historia,Ciudad de México,Miguel Hidalgo,4.6,2587
400,Cencalli: Casa del Maíz y la Cultura Alimentaria,,Secretaría de Cultura/Gobierno de la Ciudad de México,https://chapultepec.cultura.gob.mx/oferta-cultural/los-pinos/cencalli/,Ciudad de México,Miguel Hidalgo,3.5,11
401,Museo Tamayo Arte Contemporáneo,Arte,Secretaría de Cultura/INBA,http://www.museotamayo.org,Ciudad de México,Miguel Hidalgo,4.5,8010
402,Museo de Sitio y Centro de Visitantes del Bosque de Chapultepec,,SEDEMA/Dirección de Gestión del Bosque de Chapultepec,https://chapultepec.org.mx/actividad/museo-de-sitio-y-centro-de-visitantes/,Ciudad de México,Miguel Hidalgo,4.6,599
403,Papalote Museo del Niño Chapultepec,Ciencia y tecnología,"Museo Interactivo Infantil, A.C. ",https://www.papalote.org.mx/,Ciudad de México,Miguel Hidalgo,4.5,20148
404,Museo Jumex,Arte,"Fundación Jumex Arte Contemporáneo, A.C.",https://www.fundacionjumex.org/es,Ciudad de México,Miguel Hidalgo,4.6,11503
405,"Maná, Museo de la Biblia",Historia,"Maná, Museo de las Sagradas Escrituras, A.C.",http://www.museodelabiblia.mx,Ciudad de México,Miguel Hidalgo,4.5,181
406,Museo de Caballería,Historia,Secretaría de la Defensa Nacional (SEDENA)/Dirección General de Archivo e Historia,http://www.gob.mx/sedena/acciones-y-programas/museo-de-caballeria,Ciudad de México,Miguel Hidalgo,4.6,191
407,Museo Nacional de Historia Castillo de Chapultepec (cerrado temporalmente por covid),Historia,Secretaría de Cultura/INAH,https://mnh.inah.gob.mx/,Ciudad de México,Miguel Hidalgo,NaN,0
408,Museo Casa de la Bola,Arte,"Fundación Cultural Antonio Haghenbeck de la Lama, I.A.P.",http://www.museoshaghenbeck.mx/,Ciudad de México,Miguel Hidalgo,4.6,1269
409,"Museo Soumaya, Plaza Carso",Arte,"Fundación Carlos Slim, A.C.",http://www.soumaya.com.mx/index.php/esp,Ciudad de México,Miguel Hidalgo,4.8,42149
410,Mapoteca Manuel Orozco y Berra (MOB),Especializado,"Servicio de Información Agroalimentaria y Pesquera, Secretaría de Agricultura Ganadería Desarrollo Rural Pesca y Alimentación",http://mapoteca.siap.gob.mx/,Ciudad de México,Miguel Hidalgo,4.7,81
411,La Casa Luis Barragán,Arte,"Fundación de Arquitectura Tapatía Luis Barragán, A.C.",http://www.casaluisbarragan.org,Ciudad de México,Miguel Hidalgo,4.5,1204
412,Museo del Centenario del Ejército Mexicano,Historia,Secretaría de la Defensa Nacional (SEDENA),http://www.gob.mx/sedena/acciones-y-programas/museo-del-centenario-del-ejercito-mexicano,Ciudad de México,Miguel Hidalgo,5.0,0
413,Museo Nacional de Antropología (MNA),Antropología,Secretaría de Cultura/INAH,https://www.mna.inah.gob.mx/,Ciudad de México,Miguel Hidalgo,4.8,58049
414,Museo de la Brigada de Fusileros Paracaidistas,,Secretaría de la Defensa Nacional,https://www.gob.mx/sedena/acciones-y-programas/museos-y-bibliotecas-9853,Ciudad de México,Miguel Hidalgo,4.8,100
415,Museo de Geofísica,Ciencia y tecnología,UNAM/Instituto de Geofísica,https://www.geofisica.unam.mx/museos.html,Ciudad de México,Miguel Hidalgo,4.6,199
416,Museo Nacional de Energía y Tecnología (Munet) (en proceso de remodelación),,,https://www.gob.mx/gobmx/articulos/conoce-como-sera-el-nuevo-museo-nacional-de-energia-y-tecnologia-munet?fbclid=IwAR2czs8VUHq-0B98NCTmlXxj60fnVs9vTesT2fNNg6yIaOo5xVzsdLDSvXc,Ciudad de México,Miguel Hidalgo,NaN,0
417,Museo de Historia Natural y Cultura Ambiental,Ciencia y tecnología,Gobierno de la Ciudad de México/Secretaría del Medio Ambiente,http://data.sedema.cdmx.gob.mx/museodehistorianatural/?view=featured,Ciudad de México,Miguel Hidalgo,4.7,13567
418,Museo Nacional de la Cartografía,Historia,Secretaría de la Defensa Nacional (SEDENA)/Dirección General de Archivo e Historia,http://www.gob.mx/sedena/acciones-y-programas/museo-nacional-de-la-cartografia,Ciudad de México,Miguel Hidalgo,4.3,625
419,Museo Casa Presidencial Lázaro Cárdenas,,Secretaría de Cultura del Gobierno de México,https://www.gob.mx/cultura/prensa/abre-al-publico-el-museo-casa-presidencial-lazaro-cardenas-espacio-de-memoria-y-documento?idiom=es,Ciudad de México,Miguel Hidalgo,NaN,0
420,Museo de Arte Moderno (MAM),Arte,Secretaría de Cultura/INBA,https://mam.inba.gob.mx/,Ciudad de México,Miguel Hidalgo,4.6,11274
421,Museo Legislativo Los Sentimientos de la Nación,Historia,"H. Cámara de Diputados/Dirección General de Servicios de Documentación , Información y Análisis",http://museolegislativo.diputados.gob.mx/,Ciudad de México,Venustiano Carranza,4.7,67
422,Sala de Exposiciones de la Terminal 2 del Aeropuerto Internacional de la Ciudad de México Benito Juárez,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/269-sala-de-exposiciones-de-la-terminal-2-del-aeropuerto-internacional-de-la-ciudad-de-mexico-benito-juarez,Ciudad de México,Venustiano Carranza,4.3,13368
423,Museo Profr. Enrique W. Sánchez García,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Canatlán,NaN,0
424,Museo Comunitario Kokopelli,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Canatlán,NaN,0
425,Museo Comunitario Concuemitl,Historia,Ayuntamiento de Cuencamé,,Durango,Cuencamé,NaN,0
426,Museo Comunitario Gral. Calixto Contreras,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Cuencamé,NaN,0
427,Museo Comunitario de Velardeña,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Cuencamé,NaN,0
428,Galería Episcopal de Catedral. Museo de Arte Sacro,Arte,"Asociación Amigos de la Catedral, A.C.",https://museo.catedraldedurango.com/,Durango,Durango,4.6,55
429,Museo Regional de Durango Ángel Rodríguez Solórzano,Historia,Universidad Juárez del Estado de Durango,http://www.museo.ujed.mx,Durango,Durango,4.5,190
430,Museo de la Ciudad 450,Historia,Instituto Municipal del  Arte y la Cultura de Durango,,Durango,Durango,4.5,684
431,"Bebeleche, Museo Interactivo de Durango",Ciencia y tecnología,Gobierno del Estado de Durango,http://www.bebeleche.org.mx/,Durango,Durango,4.5,2200
432,Museo de Arte Funerario Benigno Montoya,Arte,"Ayuntamiento de Durango, Instituto Municipal del Arte y la Cultura ",http://imac.municipiodurango.gob.mx/,Durango,Durango,NaN,0
433,Museo de Historia y Arte Contemporáneo El Palacio de los Gurza,Arte,Instituto de Cultura del Estado de Durango,http://museogurza.iced.durango.gob.mx/,Durango,Durango,4.5,257
434,Museo de Arte Guillermo Ceniceros,Arte,Instituto de Cultura del Estado de Durango,http://www.guillermoceniceros.com/museo/,Durango,Durango,4.6,222
435,Museo de Arqueología Ganot-Peschard,Arqueología,Instituto de Cultura del Estado de Durango,http://museoganotpeschard.iced.durango.gob.mx/,Durango,Durango,4.4,135
436,Museo de Arqueología ,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/307-salas-de-exposiciones-del-centro-inah-durango,Durango,Durango,4.4,135
437,Museo de las Culturas Populares de Durango,Arte,Instituto de Cultura del Estado de Durango,,Durango,Durango,4.4,117
438,Museo Túnel de Minería,Historia,Gobierno del Estado de Durango,,Durango,Durango,4.7,77
439,Casa de Cultura Citibanamex Palacio del Conde del Valle de Súchil,Arte,"Fomento Cultural Banamex, A.C.",http://fomentoculturalbanamex.org/casasdeculturabanamex/palaciodesuchil/,Durango,Durango,4.5,61
440,Museo Francisco Villa,Historia,Instituto de Cultura del Estado de Durango,,Durango,Durango,4.6,1299
441,Museo Comunitario Tepeyolotl,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Durango,4.8,10240
442,Museo de Sitio de la Ferrería,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/203-museo-de-sitio-de-la-ferreria,Durango,Durango,4.5,202
443,Museo Comunitario Nuestra Historia de Ayer y Hoy,Historia,"Promotores de la Cultura Simón Bolivar, A.C./Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,General Simón Bolívar,NaN,0
444,Museo Comunitario Xiximes,Ciencia y tecnología,"Asociación Nacional de Museos Comunitarios, A.C./Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Gómez Palacio,3.0,3
445,Museo de Artesanías Regionales (MUSAR),Arte,Universidad La Salle Laguna,,Durango,Gómez Palacio,NaN,0
446,Acertijo Museo Interactivo Laguna,Especializado,,,Durango,Gómez Palacio,4.6,1612
447,Museo de Arte Moderno ,Arte,Casa de Cultura Gómez Farías /Gobierno del Estado de Durango,,Durango,Gómez Palacio,4.6,222
448,Museo Capitán Piloto Aviador Francisco Sarabia Tinoco ,Historia,Ayuntamiento de Lerdo,,Durango,Lerdo,4.6,242
449,Museo Histórico de la Ciudad Chalet  Gorosave,Historia,Ayuntamiento de Lerdo,,Durango,Lerdo,4.6,103
450,Museo Comunitario Francisco Villa y la División del Norte,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Lerdo,NaN,0
451,Museo Comunitario Avilés,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Lerdo,5.0,2
452,Museo Benito Juárez ,Arqueología,Ayuntamiento de Mapimí,,Durango,Mapimí,4.6,115
453,Museo Recinto Hidalgo ,Historia,Ayuntamiento de Mapimí,,Durango,Mapimí,NaN,0
454,Museo Comunitario Contalpa,Antropología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Nombre de Dios,4.5,2
455,Museo de Sitio Francisco Villa,Historia,Instituto de Cultura del Estado de Durango,,Durango,Ocampo,NaN,0
456,Museo Comunitario Peñón Blanco,Antropología,Ayuntamiento de Peñon Blanco,,Durango,Peñón Blanco,NaN,0
457,Museo Comunitario Maika,Arqueología,"Amigos de Poanas, A.C.",https://www.facebook.com/Museo-Comunitario-Maika-360020697469275/?fref=ts,Durango,Poanas,4.0,7
458,Museo Comunitario Alhí,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Pueblo Nuevo,4.0,2
459,Museo Comunitario de la Minería,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,San Juan de Guadalupe,NaN,0
460,Museo Comunitario San Juan del Río en la Historia,Historia,Ayuntamiento de San Juan de Río,,Durango,San Juan del Río,NaN,0
461,Museo de Sitio La Coyotada General Francisco Villa,Historia,Instituto de Cultura del Estado de Durango,,Durango,San Juan del Río,4.8,14
462,Museo de Antropología e Historia de Santiago Papasquiaro,Arqueología,"Amigos del Museo de Antropolgía e Historia de Santiago Papasquiaro, A.C.",,Durango,Santiago Papasquiaro,NaN,0
463,Museo Comunitario Papantón,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Santiago Papasquiaro,NaN,0
464,Museo Comunitario Valle de Súchil,Temática no determinada,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Súchil,4.5,61
465,Museo de Sitio de San José de la Boca,Antropología,"Amigos de la Cultura, A.C./Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Tepehuanes,NaN,0
466,Museo Comunitario Laguna del Caimán,Ciencia y tecnología,"Ayuntamiento de Tlahualilo, Dgo.",,Durango,Tlahualilo,4.0,0
467,Museo Comunitario Estación de Horizonte,Antropología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Tlahualilo,NaN,0
468,Museo Comunitario Tohue,Arqueología,"Huellas del Pasado, A.C.",,Durango,Vicente Guerrero,NaN,0
469,"Museo Comunitario Nuevo Ideal, ayer y hoy",Historia,"Ayuntamiento de Nuevo Ideal, Dgo",,Durango,Nuevo Ideal,NaN,0
470,Museo Municipal Miguel Hidalgo,Historia,Ayuntamiento de Abasolo/Instituto Estatal de Cultura,,Guanajuato,Abasolo,NaN,0
471,Museo de Sitio San Vicente del Caño,Historia,Ayuntamiento de Abasolo,,Guanajuato,Abasolo,NaN,0
472,Museo de Sitio de la Zona Arquelógica de Peralta,,Secretaría de Cutura/INAH,https://www.inah.gob.mx/zonas/8-zona-arqueologica-peralta,Guanajuato,Abasolo,4.6,795
473,Museo Local de Acámbaro Dr. Luis Mota Maciel,Arqueología,Ayuntamiento de Acámbaro ,,Guanajuato,Acámbaro,4.5,218
474,Museo Waldemar Julsrud,Arqueología,"Museo Waldemar Julsrud, A.C.",,Guanajuato,Acámbaro,4.4,122
475,Museo Ferrocarrilero José Cardozo Téllez,Historia,"Amigos del Ferrocarril de Acámbaro, A.C.",,Guanajuato,Acámbaro,4.1,33
476,Museo Comunitario Fray Bernardo Padilla,Historia,Comunitario independiente,,Guanajuato,Acámbaro,NaN,0
477,Museo La Esquina. Museo del Juguete Popular Mexicano,Arte,"Fundación para la Conservación del Juguete Popular Mexicano, A.C.",,Guanajuato,San Miguel de Allende,4.6,1971
478,Museo Casa del Mayorazgo de la Canal,Arte,"Fomento Cultural Banamex, A.C.",http://fomentoculturalbanamex.org/casasdeculturabanamex/casadelacanal/,Guanajuato,San Miguel de Allende,4.3,119
479,Museo de sitio de la Zona Arqueológica de Cañada de la Virgen,,Instituto Estatal de Cultura del Estado de Guanajauto,https://www.inah.gob.mx/zonas/79-zona-arqueologica-canada-de-la-virgen,Guanajuato,San Miguel de Allende,4.7,991
480,Museo Histórico Casa de Allende,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/213-museo-historico-casa-de-allende,Guanajuato,San Miguel de Allende,4.5,851
481,Museo de Arte  de Celaya Octavio Ocampo,Arte,Instituto de Arte y Cultura de Celaya,https://cultura-celaya.gob.mx/sedes/,Guanajuato,Celaya,4.9,15
482,"Centro de Interpretación Histórica. Las Batallas de Celaya, 1915",Historia,Instituto de Arte y Cultura de Celaya/Casa del Diezmo,,Guanajuato,Celaya,NaN,0
483,"Museo de Celaya, Historia Regional ",Historia,Sistema Municipal de Arte y Cultura de Celaya,https://cultura-celaya.gob.mx/sedes/,Guanajuato,Celaya,4.4,591
484,Museo de Momias,Especializado,Panteón /Ayuntamiento de Celaya,,Guanajuato,Celaya,4.3,26071
485,Museo Casa del Dr. José María Luis Mora,Historia,Secretaría de Cultura/INAH,,Guanajuato,Comonfort,4.0,3
486,Museo de la Independencia Nacional,Historia,Ayuntamiento de Dolores Hidalgo Cuna de la Independencia Nacional,,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,4.4,824
487,Casa Museo José Alfredo Jiménez,Historia,"Casa Museo José Alfredo Jiménez, A.C.",https://museojosealfredojimenez.com.mx/jose-alfredo-jimenez/,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,4.6,8730
488,Museo del Bicentenario,Historia,Ayuntamiento de Dolores Hidalgo Cuna de la Independencia Nacional,,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,4.3,300
489,Museo de Sitio Casa de Hidalgo (Excurato de Dolores),Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/246-museo-historico-curato-de-dolores,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,4.5,1734
490,Museo de las Momias de Guanajuato,Especializado,Ayuntamiento de Guanajuato,http://www.momiasdeguanajuato.gob.mx,Guanajuato,Guanajuato,4.3,26071
491,Museo de Mineralogía Eduardo Villaseñor Söhle,Ciencia y tecnología,Universidad de Guanajuato/Facultad de Minas,https://selper-guanajuato-2017.webnode.mx/visita-al-museo-de-mineralogia-eduardo-villasenor-sohle/,Guanajuato,Guanajuato,4.4,70
492,Casa Museo Gene Byron,Arte,Gobierno del Estado,,Guanajuato,Guanajuato,4.6,236
493,Museo Regional de Guanajuato Alhóndiga de Granaditas,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/214-museo-regional-de-guanajuato-alhondiga-de-granaditas,Guanajuato,Guanajuato,4.7,16940
494,Museo de Cera de Guanajuato,Especializado,Gobierno del Estado de Guanajuato,http://www.museodeceradeguanajuato.com.mx/,Guanajuato,Guanajuato,4.2,285
495,Museo Casa de Arte Olga Costa - José Chávez Morado,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Guanajuato,4.7,221
496,Museo Casa de las Leyendas de Guanajuato,Historia,Particular,,Guanajuato,Guanajuato,4.2,1799
497,Museo Conde Rul,Arte,Instituto Estatal de la Cultura de Guanajuato/Dirección de Museos,,Guanajuato,Guanajuato,4.5,276
498,Museo Casa de Tía Aura,Historia,,http://www.casadetiaaura.com,Guanajuato,Guanajuato,4.3,2800
499,Pinacoteca del Templo de La Compañía,Arte,Congregación del Oratorio de San Felipe Neri,,Guanajuato,Guanajuato,4.7,443
500,Museo de Arte Contemporáneo Primer Depósito,Arte,Particular,,Guanajuato,Guanajuato,4.6,112
501,Museo Ex-Hacienda San Gabriel de Barrera,Arte,Gobierno del Estado de Guanajuato,,Guanajuato,Guanajuato,4.7,2166
502,Museo Iconográfico del Quijote,Arte,Gobierno del Estado de Guanajuato, http://museoiconografico.guanajuato.gob.mx,Guanajuato,Guanajuato,4.7,1880
503,Museo Casa Diego Rivera,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Guanajuato,4.6,2978
504,Museo del Pueblo de Guanajuato,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Guanajuato,4.6,232
505,Museo  Palacio de los Poderes,,Instituto Estatal de la Cultura de Guanajuato/Dirección de Museos,https://cultura.guanajuato.gob.mx/,Guanajuato,Guanajuato,4.8,294
506,Museo de Sitio Ex Convento Dieguino,Arte,Ayuntamiento de Guanajuato/Dirección General de Cultura y Educación,,Guanajuato,Guanajuato,4.2,81
507,Museo de la Cultura Legislativa,,Congreso del Estado de Guanajuato,http://conoce.congresogto.gob.mx/museo/index.php,Guanajuato,Guanajuato,4.7,60
508,Museo de la Universidad de Guanajuato,,Universidad de Guanajuato,https://www.ugto.mx/mug/,Guanajuato,Guanajuato,NaN,0
509,Museo de Historia Natural Alfredo Dugés,Ciencia y tecnología,Universidad de Guanajuato,,Guanajuato,Guanajuato,4.5,15
510,Museo Arqueológico Huanímaro,Arqueología,Ayuntamiento de Huanímaro/Casa de Cultura,,Guanajuato,Huanímaro,NaN,0
511,Museo Pacha Moma,,Fundación Fernando Barba Amezcua A.C,http://www.fbac.mx,Guanajuato,Irapuato,4.7,86
512,Museo de la Ciudad ,Arqueología,"Instituto Municipal de Cultura, Arte y Recreación",http://irapuatoguanajuato.blogspot.mx/2009/12/museo-de-la-ciudad-de-irapuato.html,Guanajuato,Irapuato,NaN,0
513,Museo de las Identidades Leonesas (MIL),Antropología,Instituto Cultural de León,http://institutoculturaldeleon.org.mx/icl/excarcel,Guanajuato,León,4.6,604
514,Museo Centro de Ciencias Explora,Ciencia y tecnología,Ayuntamiento de León,http://www.explora.edu.mx ,Guanajuato,León,4.4,4120
515,Mi Museo Universitario de La Salle (MIM),Arte,Universidad de La Salle Bajío,http://bajio.delasalle.edu.mx/servicios/mim.php,Guanajuato,León,4.8,82
516,Museo de Arte e Historia de Guanajuato,Historia,Forum Cultural Guanajuato/Gobierno del Estado de Guanajuato,,Guanajuato,León,4.8,6731
517,Museo de Arte Sacro de León,Arte,Arquidiócesis de León,,Guanajuato,León,4.4,73
518,Museo de la Ciudad de León,Arte,Fideicomiso Museo de la Ciudad de León/Ayuntamiento de León,http://www.museodelaciudaddeleon.org.mx/museo/modulos/mdl_principal/sub_main/index.php,Guanajuato,León,4.3,217
519,Museo de Sitio de la Zona Arqueológica de El Cóporo,,Instituto Estatal de Cultura del Estado de Guanajauto,http://www.inah.gob.mx/es/zonas/26-zona-arqueologica-el-coporo,Guanajuato,Ocampo,4.7,269
520,Museo de Sitio de la Zona Arquelógica de Plazuelas,,Secretaría de Cultura/INAH,https://www.inah.gob.mx/zonas/74-zona-arqueologica-plazuelas,Guanajuato,Pénjamo,4.6,673
521,Museo Estatal de la Máscara,Arte,Casa de Cultura Hermenegildo Bustos/Instituto Estatal de la Cultura del Estado de Guanajuato,,Guanajuato,Purísima del Rincón,NaN,0
522,Museo Hermenegildo Bustos,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Purísima del Rincón,4.7,71
523,Museo Histórico Casa de Hidalgo (La Francia Chiquita),Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/247-museo-historico-casa-de-hidalgo-la-francia-chiquita,Guanajuato,San Felipe,4.2,92
524,Museo de la Ciudad Francisco Orozco Muñoz,,Ayuntamiento de San Francisco del Rincón,,Guanajuato,San Francisco del Rincón,5.0,2
525,Museo de Historia de Mineral de Pozos,Historia,Fundación Para el Desarrollo de los Pueblos Mineros (Fundemin),,Guanajuato,San Luis de la Paz,NaN,0
526,Museo de Sitio,,Fideicomiso de Inversión y Administración de Parque Guanajuato Bicentenario,http://www.guanajuato.mx/destinos/4/62,Guanajuato,San Luis de la Paz,NaN,0
527,Museo José y Tomás Chávez Morado,Arte,Instituto Estatal de la Cultura de Guanajuato,http://cultura.guanajuato.gob.mx,Guanajuato,Silao de la Victoria,4.5,100
528, Museo del Automóvil ,,Gobierno del Estado/Parque Guanajuato Bicentenario,,Guanajuato,Silao de la Victoria,NaN,0
529,Museo de Sitio de la Zona Arqueológica de Arroyo Seco,Arqueología,Secretaría de Cultura/INAH,,Guanajuato,Victoria,4.7,255
530,Museo Ex Convento Agustino de San Pedro y San Pablo,Arqueología,Secretaría de Cultura/INAH,,Guanajuato,Yuriria,4.6,891
531,Museo de la Máscara,,Gobierno del Estado de Guerrero/Complejo Cultural Siete Regiones,,Guerrero,Acapulco de Juárez,4.5,17
532,Museo Histórico Naval de Acapulco,Historia,"Museo Histórico Naval de Acapulco, A.C.",,Guerrero,Acapulco de Juárez,4.7,91
533,Museo y Salón de la Fama del Deporte Guerrerense,Especializado,Casa de la Cultura de Acapulco/Instituto del Deporte de Guerrero,,Guerrero,Acapulco de Juárez,NaN,0
534,Museo de las Siete Regiones,,Secretaría de Cultura de Guerrero/Complejo Cultural Siete Regiones,,Guerrero,Acapulco de Juárez,4.8,9
535,Museo Histórico de Acapulco Fuerte de San Diego,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/300-museo-historico-de-acapulco-fuerte-de-san-diego,Guerrero,Acapulco de Juárez,4.7,2594
